"","Specimen.Code","Common.Name","Latin.Name","City","Province","Country","Latitude","Longitude","Matrix.PCR.Result","Matrix.PCR.Result.Date","PCRResultDate","week","weekNum"
"383","CWHC.136085.1","Blue-Winged Teal","Anas discors","","Saskatchewan","Canada",51.701373,-106.51696,"Negative ","2017-10-11",2017-10-11,3,10
"384","CWHC.136357.1","Double-Crested Cormorant","Phalacrocorax auritus","Bowmanville","Ontario","Canada",43.8695662,-78.7242711,"Unknown ","2018-01-10",2018-01-10,3,23
"385","CWHC.136620.1","American Crow","Corvus brachyrhynchos","Red Deer","Alberta","Canada",52.2681,-113.8112,"Negative ","2017-10-03",2017-10-03,2,9
"386","CWHC.138632.3","Canada Goose","Branta canadensis","Ottawa","Ontario","Canada",45.394118,-75.703624,"Negative ","2018-01-18",2018-01-18,4,24
"387","CWHC.135867.1","American Crow","Corvus brachyrhynchos","Saskatoon","Saskatchewan","Canada",52.09231,-106.590778,"Negative ","2017-08-17",2017-08-17,4,2
"388","CWHC.135636.4","Ring-Billed Gull","Larus delawarensis","Sorel","Québec","Canada",46.04833333,-73.11277778,"Negative ","2017-08-09",2017-08-09,3,1
"389","CWHC.136335.1","Great Horned Owl","Bubo virginianus","Coleman","Prince Edward Island","Canada",46.63626,-64.17091,"Negative ","2017-09-28",2017-09-28,4,8
"390","CWHC.135873.1","Ring-Billed Gull","Larus delawarensis","Clavet","Saskatchewan","Canada",52.11567,-106.350301,"Negative ","2017-08-18",2017-08-18,5,2
"391","CWHC.136454.1","American Crow","Corvus brachyrhynchos","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"392","CWHC.137680.8","Lesser Scaup","Aythya affinis","Ottawa","Ontario","Canada",45.393302,-75.701534,"Positive ","2017-11-23",2017-11-23,4,16
"393","CWHC.136451.1","Black-billed Magpie","Pica hudsonia","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-09-14",2017-09-14,4,6
"394","CWHC.136998.3","Long-Tailed Duck","Clangula hyemalis","Toronto","Ontario","Canada",43.662648,-79.3100073,"Negative ","2017-11-14",2017-11-14,2,15
"395","CWHC.136715.1","Great Blue Heron","Ardea herodias","Sainte-Julienne","Québec","Canada",45.97055556,-73.71666667,"Negative ","2017-10-19",2017-10-19,4,11
"396","CWHC.136617.1","Double-Crested Cormorant","Phalacrocorax auritus","Winter River","Prince Edward Island","Canada",46.34464,-63.06632,"Negative ","2017-10-31",2017-10-31,2,13
"397","CWHC.136020.1","Ring-Billed Gull","Larus delawarensis","Scarborough","Ontario","Canada",43.717877,-79.271235,"Negative ","2017-08-23",2017-08-23,3,3
"398","CWHC.136735.1","Wild Turkey","Meleagris gallopavo","Indian River Reserve","Ontario","Canada",44.3457,-78.07,"Negative ","2017-10-30",2017-10-30,1,13
"400","CWHC.136295.1","Ring-Billed Gull","Larus delawarensis","Hamilton","Ontario","Canada",43.274291,-79.864017,"Positive ","2017-09-06",2017-09-06,3,5
"401","CWHC.136053.1","American Crow","Corvus brachyrhynchos","Strathroy","Ontario","Canada",42.9754343,-81.6320135,"Negative ","2017-08-24",2017-08-24,4,3
"402","CWHC.135952.1","California Gull","Larus californicus","Saskatoon","Saskatchewan","Canada",52.1092921,-106.5650368,"Negative ","2017-08-31",2017-08-31,4,4
"403","CWHC.138170.1","Lesser Scaup","Aythya affinis","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-12-12",2017-12-12,2,19
"404","CWHC.136179.1","Black-billed Magpie","Pica hudsonia","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"405","CWHC.136634.1","Sora","Porzana carolina","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-10-05",2017-10-05,4,9
"406","CWHC.136296.2","Mallard","Anas platyrhynchos","Peterborough","Ontario","Canada",44.331715,-78.331127,"Negative ","2017-09-22",2017-09-22,5,7
"407","CWHC.136239.1","Double-Crested Cormorant","Phalacrocorax auritus","Huntingdon","Québec","Canada",45.08861111,-74.17111111,"Negative ","2017-09-19",2017-09-19,2,7
"408","CWHC.137984.1","Great Horned Owl","Bubo virginianus","Orillia","Ontario","Canada",44.6671955,-79.2745703,"Negative ","2017-12-19",2017-12-19,2,20
"409","CWHC.136171.1","Northern Flicker","Colaptes auratus","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"411","CWHC.136166.1","American Robin","Turdus migratorius","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
"412","CWHC.138145.1","Bohemian Waxwing","Bombycilla garrulus","Millet","Alberta","Canada",53.0921,-113.4703,"Negative ","2017-12-12",2017-12-12,2,19
"413","CWHC.138172.1","Bufflehead","Bucephala albeola","Smoky Lake","Alberta","Canada",54.1124,-112.4759,"Negative ","2017-12-12",2017-12-12,2,19
"414","CWHC.136183.1","Franklin's Gull","Larus pipixcan","Edmonton","Alberta","Canada",53.5444,-113.4909,"Negative ","2017-08-17",2017-08-17,4,2
