"","sciname","locname","howmany","obsdt","comname","db","query","species","genus","family","order","obsdt2","region","X","Y"
"18557","Branta canadensis","Alto-Reste Cemetery",6,"2017-09-13 12:05","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-13,"AB",4754513.87269923,2041656.9200006
"18561","Branta canadensis","AB - Devon, 51 River Dr",10,"2017-10-16","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-16,"AB",4794364.34255787,2155069.04082164
"18563","Branta canadensis","Sherwood Park--Heritage Wetlands Park",34,"2017-09-15","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-15,"AB",4829215.189829,2161734.57221178
"18565","Branta canadensis","Hwy 601 at Alix",25,"2017-10-11","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-11,"AB",4791459.59888765,2040934.98011379
"18569","Branta canadensis","Big Lake--John E. Poole Wetland",50,"2017-09-22","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-22,"AB",4807710.94890133,2178877.29683856
"18570","Branta canadensis","Hwy 21 / TwpRd 530",270,"2017-10-15","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-15,"AB",4830360.69948857,2162363.13976158
"18572","Branta canadensis","Umbach Off-Leash Dog Park, Stony Plain",150,"2017-10-09","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-09,"AB",4784964.29617322,2180238.84876129
"18574","Branta canadensis","Blackmud Ravine",190,"2017-10-20","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-20,"AB",4810225.69517997,2157790.85596039
"18614","Branta canadensis","West of Elk Island",50,"2017-09-23","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-23,"AB",4848510.56062637,2171185.6719995
"18616","Branta canadensis","St. Albert--Lacombe Park",60,"2017-09-15","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-15,"AB",4808715.54849244,2181428.2627966
"18625","Branta canadensis","Twin marsh on 590",120,"2017-10-11","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-11,"AB",4768081.42140131,2008078.63711472
"18628","Branta canadensis","BETHEL BUS - 36 Marion (53.54, -113.307)",1,"2017-09-06","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-06,"AB",4826807.09324591,2164567.71789277
"18639","Branta canadensis","Fleming Slough",2,"2017-08-18","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-18,"AB",4738166.35400019,2030641.43314428
"18650","Branta canadensis","Ryder Lake",70,"2017-11-16 07:50","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-11-16,"BC",4089295.3386367,1948449.19966767
"18652","Branta canadensis","Blackmud Ravine",99,"2017-10-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-04,"AB",4810225.69517997,2157790.85596039
"18653","Branta canadensis","Range Road 263 - off Highway 2",6,"2017-10-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-04,"AB",4770696.56639534,2079165.09711831
"18654","Branta canadensis","RR 222 between home and Hwy 16",14,"2017-10-12","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-12,"AB",4837855.59432442,2165190.81230771
"18655","Branta canadensis","Big Lake-RV Park walk Ray Gibbon Dr",25,"2017-10-21","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-21,"AB",4807501.13524037,2179109.50499857
"18658","Branta canadensis","Abbotsford--Willband Creek Park",23,"2017-11-09 12:50","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-11-09,"BC",4061974.44569012,1957980.72499229
"18663","Branta canadensis","Sherwood Park--Backyard",120,"2017-10-21","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-21,"AB",4828643.73394785,2160435.5044805
"18675","Branta canadensis","67 Street",200,"2017-11-13 10:00","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-11-13,"AB",4751569.22487339,2044543.28219105
"18677","Branta canadensis","Sherwood Park--Centennial Park",6,"2017-10-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-04,"AB",4827184.60042997,2165297.74075336
"18681","Branta canadensis","St. Albert--53 Wakefield Blvd",18,"2017-09-08","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-08,"AB",4811727.11926376,2181375.12071934
"18682","Branta canadensis","Edmonton--Whitemud Park",3,"2017-10-15","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-15,"AB",4809089.48592069,2164190.59594843
"18683","Branta canadensis","Edmonton--Beaumaris Lake",4,"2017-09-14","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-14,"AB",4816831.67141919,2176080.54585633
"18685","Branta canadensis","Hwy 601 at Alix",30,"2017-08-07","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-07,"AB",4791459.59888765,2040934.98011379
"18686","Branta canadensis","Sherwood Park--Heritage Wetlands Park",1,"2017-10-16","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-16,"AB",4829215.189829,2161734.57221178
"18688","Branta canadensis","Whitemud Dr, Edmonton CA-AB (53.4800,-113.4959)",200,"2017-10-01","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-01,"AB",4812601.26425375,2161665.80323673
"18701","Branta canadensis","Seba Beach",30,"2017-10-29","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-29,"AB",4738772.00139503,2200760.10778976
"18708","Branta canadensis","19 - 26413 Twp Road 510, Parkland County, Alberta",1,"2017-09-03","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-03,"AB",4791549.05908535,2155657.16533635
"18723","Branta canadensis","Abbotsford--Fishtrap Creek Park",50,"2018-01-25 09:10","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2018-01-25,"BC",4056865.37340931,1958849.28430408
"18726","Branta canadensis","Ghostpine Springs Sanctuary",1,"2017-10-11","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-11,"AB",4766398.93774563,2008709.97300997
"18734","Branta canadensis","Red Deer--Three Mile Bend Recreation Area",15,"2017-10-14","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-14,"AB",4751263.53751835,2046271.90297161
"18741","Branta canadensis","Sardis Park",NA,"2017-10-29 20:55","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-29,"BC",4086164.03821647,1952676.12373182
"18750","Branta canadensis","Genessee Lake",1,"2018-01-07 15:24","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2018-01-07,"AB",4754270.81718289,2166982.44651644
"18753","Branta canadensis","My House",10,"2017-09-02","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-02,"AB",4807703.26099688,2161884.90862357
"18762","Branta canadensis","Ghostpine Springs Sanctuary",20,"2017-08-26","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-26,"AB",4766398.93774563,2008709.97300997
"18765","Branta canadensis","Lacombe (city)",NA,"2017-08-25","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-25,"AB",4761011.97300036,2062953.67401567
"18766","Branta canadensis","Marsh on 374",300,"2017-08-20","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-20,"AB",4742271.04138037,2037649.57361057
"18768","Branta canadensis","Twp Road 384 east of Red Deer",40,"2017-08-18","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-18,"AB",4754062.42763236,2043625.53429302
"18773","Branta canadensis","Genessee Lake",NA,"2017-10-21","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-21,"AB",4754270.81718289,2166982.44651644
"18791","Branta canadensis","CA-AB-Leduc County AB (53.3321,-114.3519)",50,"2017-10-29 09:33","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-29,"AB",4754344.6717118,2165476.51892392
"18796","Branta canadensis","RR12 Gravel Parkland County",16,"2017-10-05","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-05,"AB",4779376.15389952,2176424.45515421
"18797","Branta canadensis","Blackmud Ravine",14,"2017-10-13","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-13,"AB",4810225.69517997,2157790.85596039
"18798","Branta canadensis","Edmonton--William Hawrelak Park",NA,"2017-10-17","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-17,"AB",4810883.43313614,2167937.84162364
"18799","Branta canadensis","Coal Lake",100,"2017-10-14","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-14,"AB",4812456.33078019,2106637.17755864
"18800","Branta canadensis","Sherwood Park--Heritage Wetlands Park",17,"2017-10-09","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-09,"AB",4829215.189829,2161734.57221178
"18805","Branta canadensis","Bearspaw Lake, Edmonton",39,"2017-09-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-04,"AB",4810712.88851289,2158712.43384362
"18807","Branta canadensis","Uncas",25,"2017-10-03","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-03,"AB",4842008.16379599,2155401.98113695
"18812","Branta canadensis","Sherwood Park--Heritage Wetlands Park",9,"2017-10-28 10:45","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-28,"AB",4829215.189829,2161734.57221178
"18814","Branta canadensis","Sherwood Park--Heritage Wetlands Park",20,"2017-10-09","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-09,"AB",4829215.189829,2161734.57221178
"18819","Branta canadensis","CA-AB-Leduc County AB (53.3321,-114.3519)",50,"2017-10-29","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-29,"AB",4754344.6717118,2165476.51892392
"18820","Branta canadensis","C&E Trail north of Innisfail",24,"2017-10-11","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-11,"AB",4731365.3154612,2024995.97218867
"18824","Branta canadensis","Sherwood Park--Heritage Wetlands Park",5,"2017-10-30","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-30,"AB",4829215.189829,2161734.57221178
"18847","Branta canadensis","Big Lake--John E. Poole Wetland",150,"2017-10-29","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-29,"AB",4807710.94890133,2178877.29683856
"18855","Branta canadensis","Red Deer--Red Deer Cemetery",16,"2017-10-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-04,"AB",4750008.49309465,2043434.85588945
"18857","Branta canadensis","27 Erica Drive, Lacombe, Alberta, CA (52.485, -113.733)",50,"2017-10-22","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-22,"AB",4761177.9173215,2064000.33050386
"18859","Branta canadensis","Red Deer--Three Mile Bend Recreation Area",22,"2017-10-13","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-13,"AB",4751263.53751835,2046271.90297161
"18872","Branta canadensis","Burnaby Lake--Rowing Pavilion",NA,"2018-01-11 08:17","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2018-01-11,"BC",4027258.78242312,1998128.70490042
"18877","Branta canadensis","Edmonton--Beaumaris Lake",2,"2017-09-08","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-08,"AB",4816831.67141919,2176080.54585633
"18884","Branta canadensis","Sherwood Park--Heritage Wetlands Park",5,"2017-09-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-04,"AB",4829215.189829,2161734.57221178
"18886","Branta canadensis","Blackmud Ravine",150,"2017-10-22","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-22,"AB",4810225.69517997,2157790.85596039
"18887","Branta canadensis","Sherwood Park--Heritage Wetlands Park",21,"2017-10-05","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-05,"AB",4829215.189829,2161734.57221178
"18897","Branta canadensis","19 - 26413 Twp Road 510, Parkland County, Alberta",4,"2017-10-23","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-23,"AB",4791549.05908535,2155657.16533635
"18905","Branta canadensis","RR12 Gravel Parkland County",36,"2017-10-15","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-15,"AB",4779376.15389952,2176424.45515421
"18908","Branta canadensis","Edmonton--Beaumaris Lake",17,"2017-10-06","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-06,"AB",4816831.67141919,2176080.54585633
"18919","Branta canadensis","Granville stormwater pond N of Granville Link and Glastonbury Blvd",45,"2017-09-04","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-04,"AB",4802066.70452227,2168297.80584159
"18920","Branta canadensis","St. Albert--Riel Wetlands--Nadeau Pond",20,"2017-10-21","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-21,"AB",4807695.453169,2179166.99048015
"18925","Branta canadensis","Sherwood Park--Centennial Park",7,"2017-09-17","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-17,"AB",4827184.60042997,2165297.74075336
"18926","Branta canadensis","St. Albert--McKenney Pond",360,"2017-09-30","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-09-30,"AB",4808523.61189934,2181222.86638093
"18929","Branta canadensis","Aspen Beach Provincial Park",12,"2017-08-07","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-07,"AB",4744610.5374752,2067062.92435145
"18934","Branta canadensis","Alto-Reste Cemetery",22,"2017-10-05","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-05,"AB",4754513.87269923,2041656.9200006
"18936","Branta canadensis","Wabamun--Sundance Plant Cooling Channel and Large Pond",60,"2017-10-28","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-28,"AB",4749032.19448969,2187776.93418749
"18938","Branta canadensis","Abbotsford--Fishtrap Creek Park",28,"2018-01-31 13:58","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2018-01-31,"BC",4056865.37340931,1958849.28430408
"18943","Branta canadensis","St. Albert--Grey Nuns Spruce Woodlot",20,"2017-10-24","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-24,"AB",4807997.24335357,2180171.13181285
"18944","Branta canadensis","Keephills Plant Cooling Ponds",10,"2017-10-29 13:45","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-29,"AB",4752027.78036214,2181316.67557763
"18972","Branta canadensis","The Narrows PRA",5,"2017-08-14","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-08-14,"AB",4802874.80332808,2045411.4960761
"18973","Branta canadensis","Stanley Park--2nd Beach",10,"2017-12-07 08:14","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-12-07,"BC",4017590.00205081,2009523.78988156
"18976","Branta canadensis","East of Red Deer",100,"2017-10-11","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-11,"AB",4761578.84757298,2038834.75138133
"18980","Branta canadensis","Longhurst Lake--Junction Hwy 779 & 627",3000,"2017-10-26","Canada Goose","ncbi","Branta canadensis","Branta canadensis","Branta","Anatidae","Anseriformes",2017-10-26,"AB",4780139.32165471,2170051.64369615
