"FID_","FID_triang","SP_ID","x","length","Y","N","JT"
,427,"428",428,220.355931,0,1,"WW"
,438,"439",439,383.047824,0,1,"WW"
,40,"41",41,253.171519,0,1,"WW"
,42,"43",43,199.351831,0,1,"WW"
,45,"46",46,1332.602599,0,1,"WW"
,116,"117",117,69.362127,0,1,"WW"
,40,"41",41,269.654483,0,1,"WW"
,40,"41",41,27.650072,0,1,"WW"
,45,"46",46,1350.326776,0,1,"WW"
,52,"53",53,1533.745926,0,1,"WW"
,51,"52",52,1551.106298,0,1,"WW"
,425,"426",426,965.127006,0,1,"WW"
,427,"428",428,264.668196,0,1,"WW"
,427,"428",428,122.735510,0,1,"WW"
,429,"430",430,104.412930,0,1,"WW"
,33,"34",34,165.051858,1,1,"BW"
,24,"25",25,324.553648,1,1,"BW"
,24,"25",25,474.351916,1,1,"BW"
,26,"27",27,570.660314,1,1,"BW"
,424,"425",425,119.761716,0,1,"WW"
,115,"116",116,50.772081,0,1,"WW"
,63,"64",64,242.301933,1,1,"BW"
,63,"64",64,227.465702,1,1,"BW"
,64,"65",65,130.327822,1,0,"BB"
,114,"115",115,32.874738,0,1,"WW"
,163,"164",164,1008.227654,0,1,"WW"
,424,"425",425,52.066521,0,1,"WW"
,424,"425",425,114.166037,0,1,"WW"
,162,"163",163,124.981609,0,1,"WW"
,66,"67",67,127.068026,1,1,"BW"
,36,"37",37,44.279974,1,1,"BW"
,35,"36",36,595.724396,0,1,"WW"
,35,"36",36,660.017378,0,1,"WW"
,38,"39",39,731.013394,0,1,"WW"
,111,"112",112,83.486748,1,1,"BW"
,114,"115",115,114.628995,1,1,"BW"
,115,"116",116,162.499322,1,1,"BW"
,116,"117",117,229.384200,1,1,"BW"
,161,"162",162,1771.447728,0,1,"WW"
,163,"164",164,1095.177663,0,1,"WW"
,162,"163",163,95.753897,0,1,"WW"
,111,"112",112,135.515827,0,1,"WW"
,110,"111",111,165.987624,1,1,"BW"
,110,"111",111,153.919660,0,1,"WW"
,110,"111",111,103.791503,1,1,"BW"
,112,"113",113,46.923680,0,1,"WW"
,112,"113",113,143.791411,1,1,"BW"
,67,"68",68,276.392026,1,1,"BW"
,44,"45",45,227.627892,0,1,"WW"
,41,"42",42,812.987082,0,1,"WW"
,41,"42",42,928.785604,0,1,"WW"
,161,"162",162,1879.263796,0,1,"WW"
,160,"161",161,146.144203,0,1,"WW"
,160,"161",161,130.290605,0,1,"WW"
,123,"124",124,129.805423,0,1,"WW"
,119,"120",120,134.425532,0,1,"WW"
,123,"124",124,73.865008,0,1,"WW"
,68,"69",69,339.108890,1,0,"BB"
,68,"69",69,78.488717,1,1,"BW"
,71,"72",72,17.004051,1,1,"BW"
,71,"72",72,90.380067,0,1,"WW"
,119,"120",120,158.487391,0,1,"WW"
,118,"119",119,89.797260,0,1,"WW"
,121,"122",122,287.002290,0,1,"WW"
,120,"121",121,157.615355,0,1,"WW"
,74,"75",75,261.061504,0,1,"WW"
,46,"47",47,347.328706,0,1,"WW"
,46,"47",47,1014.106284,0,1,"WW"
,72,"73",73,262.719424,1,1,"BW"
